event,name,clock,t_start_ns,t_end_ns,interval_ns,value,note
startup,configured_signal_set,-,,,,forklift+warning,"configured signal set: forklift+warning — forklift 4in/3out/5diag (opcua-nodes.md §10), warning 1in/0out/0diag (opcua-nodes.md §13); 5 input slots, 3 output slots, 5 diagnostics, 14 nodes touched, write allowlist 6 keys; silence rule: ForkliftWarningFieldOccupied asserts True after 0.500s of silence (opcua-nodes.md §13.2 W1)"
session,session_timeout_ms,-,,,,10000.0,granted; requested 10000 (granted as requested)
session,secure_channel_lifetime_ms,-,,,,3600000.0,granted; requested 3600000
session,keepalive_period_s,-,,,,3.3333,derived from the granted timeout / 3 (§3.2 S3)
session,namespace_index:server_interfaces,-,,,,2,http://www.siemens.com/simatic-s7-opcua
session,namespace_index:interface,-,,,,3,http://DemoCell
session,connect,-,,,,,opc.tcp://172.19.176.1:4841
read_rt,ForkliftSteerAngleRef,monotonic,399834178770533,399834179846211,1075678,0.0,
L5,cmd_steer_angle,monotonic,399834179846211,399834180037902,191691,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834180044301,399834181277093,1232792,0.0,
L5,cmd_fork_speed,monotonic,399834181277093,399834181472014,194921,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834148492115,399834181490325,32998210,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834148492115,399834177372927,28880812,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834181493882,399834182695885,1202003,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834148492115,399834182695885,34203770,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834131703342,399834181493882,49790540,,
R1,cycle,monotonic,399834177372927,399834226965635,49592708,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834226982048,399834228202840,1220792,0.0,
L5,cmd_traction_speed,monotonic,399834228202840,399834228427066,224226,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834228435188,399834229269798,834610,0.0,
L5,cmd_steer_angle,monotonic,399834229269798,399834229454242,184444,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834229460485,399834230189962,729477,0.0,
L5,cmd_fork_speed,monotonic,399834230189962,399834230277716,87754,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834148492115,399834230288935,81796820,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834148492115,399834226965635,78473520,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834230292325,399834230963591,671266,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834148492115,399834230963591,82471476,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834181493882,399834230292325,48798443,,
R1,cycle,monotonic,399834226965635,399834277209591,50243956,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834277225441,399834278340485,1115044,0.0,
L5,cmd_traction_speed,monotonic,399834278340485,399834278456389,115904,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834278460143,399834279473063,1012920,0.0,
L5,cmd_steer_angle,monotonic,399834279473063,399834279577166,104103,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834279580446,399834280496973,916527,0.0,
L5,cmd_fork_speed,monotonic,399834280496973,399834280618560,121587,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834248522544,399834280632456,32109912,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834248522544,399834277209591,28687047,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834280635540,399834281363341,727801,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834248522544,399834281363341,32840797,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834230292325,399834280635540,50343215,,
R1,cycle,monotonic,399834277209591,399834327593968,50384377,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834327607705,399834328522468,914763,0.0,
L5,cmd_traction_speed,monotonic,399834328522468,399834328637959,115491,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834328641373,399834329532135,890762,0.0,
L5,cmd_steer_angle,monotonic,399834329532135,399834329691583,159448,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834329698679,399834331066824,1368145,0.0,
L5,cmd_fork_speed,monotonic,399834331066824,399834331161992,95168,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834248522544,399834331171810,82649266,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834248522544,399834327593968,79071424,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834331174260,399834332185166,1010906,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834248522544,399834332185166,83662622,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834280635540,399834331174260,50538720,,
R1,cycle,monotonic,399834327593968,399834377421595,49827627,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834377436675,399834378524149,1087474,0.0,
L5,cmd_traction_speed,monotonic,399834378524149,399834378692029,167880,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834378699207,399834379542511,843304,0.0,
L5,cmd_steer_angle,monotonic,399834379542511,399834379643322,100811,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834379647723,399834380615032,967309,0.0,
L5,cmd_fork_speed,monotonic,399834380615032,399834380792294,177262,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834348406758,399834380806064,32399306,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834348406758,399834377421595,29014837,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834380809545,399834381989060,1179515,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834348406758,399834381989060,33582302,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834331174260,399834380809545,49635285,,
R1,cycle,monotonic,399834377421595,399834427183547,49761952,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834427194239,399834428191599,997360,0.0,
L5,cmd_traction_speed,monotonic,399834428191599,399834428323182,131583,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834428331417,399834429287660,956243,0.0,
L5,cmd_steer_angle,monotonic,399834429287660,399834429458992,171332,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834429465422,399834430522199,1056777,0.0,
L5,cmd_fork_speed,monotonic,399834430522199,399834430719005,196806,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834348406758,399834430735494,82328736,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834348406758,399834427183547,78776789,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834430739762,399834432154594,1414832,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834348406758,399834432154594,83747836,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834380809545,399834430739762,49930217,,
R1,cycle,monotonic,399834427183547,399834477415302,50231755,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834477431008,399834478424068,993060,0.0,
L5,cmd_traction_speed,monotonic,399834478424068,399834478551553,127485,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834478555638,399834479432337,876699,0.0,
L5,cmd_steer_angle,monotonic,399834479432337,399834479523181,90844,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834479526809,399834480322987,796178,0.0,
L5,cmd_fork_speed,monotonic,399834480322987,399834480436430,113443,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834448790310,399834480455772,31665462,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834448790310,399834477415302,28624992,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834480459559,399834481272211,812652,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834448790310,399834481272211,32481901,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834430739762,399834480459559,49719797,,
R1,cycle,monotonic,399834477415302,399834527480918,50065616,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834527493148,399834528595431,1102283,0.0,
L5,cmd_traction_speed,monotonic,399834528595431,399834528735259,139828,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834528742644,399834530223022,1480378,0.0,
L5,cmd_steer_angle,monotonic,399834530223022,399834530400398,177376,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834530407610,399834531718731,1311121,0.0,
L5,cmd_fork_speed,monotonic,399834531718731,399834531910667,191936,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834448790310,399834531927647,83137337,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834448790310,399834527480918,78690608,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834531932307,399834533044732,1112425,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834448790310,399834533044732,84254422,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834480459559,399834531932307,51472748,,
R1,cycle,monotonic,399834527480918,399834577251291,49770373,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834577262329,399834578445039,1182710,0.0,
L5,cmd_traction_speed,monotonic,399834578445039,399834578559666,114627,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834578564066,399834579325278,761212,0.0,
L5,cmd_steer_angle,monotonic,399834579325278,399834579411873,86595,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834579415370,399834580142990,727620,0.0,
L5,cmd_fork_speed,monotonic,399834580142990,399834580242634,99644,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834548382507,399834580252505,31869998,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834548382507,399834577251291,28868784,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834580255875,399834580967399,711524,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834548382507,399834580967399,32584892,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834531932307,399834580255875,48323568,,
R1,cycle,monotonic,399834577251291,399834627151115,49899824,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834627161950,399834628321652,1159702,0.0,
L5,cmd_traction_speed,monotonic,399834628321652,399834628445612,123960,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834628451073,399834629230194,779121,0.0,
L5,cmd_steer_angle,monotonic,399834629230194,399834629345341,115147,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834629363913,399834630392319,1028406,0.0,
L5,cmd_fork_speed,monotonic,399834630392319,399834630502237,109918,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834548382507,399834630512950,82130443,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834548382507,399834627151115,78768608,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834630516546,399834631341516,824970,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834548382507,399834631341516,82959009,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834580255875,399834630516546,50260671,,
R1,cycle,monotonic,399834627151115,399834677475688,50324573,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834677487303,399834678543889,1056586,0.0,
L5,cmd_traction_speed,monotonic,399834678543889,399834678701308,157419,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834678709062,399834679686069,977007,0.0,
L5,cmd_steer_angle,monotonic,399834679686069,399834679819672,133603,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834679825517,399834680972006,1146489,0.0,
L5,cmd_fork_speed,monotonic,399834680972006,399834681076952,104946,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834648810447,399834681091869,32281422,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834648810447,399834677475688,28665241,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834681095241,399834681987534,892293,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834648810447,399834681987534,33177087,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834630516546,399834681095241,50578695,,
R1,cycle,monotonic,399834677475688,399834727174273,49698585,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834727184858,399834728460719,1275861,0.0,
L5,cmd_traction_speed,monotonic,399834728460719,399834728593193,132474,0.0,
