pose,regime,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,t_decode_s,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_face_range_m,tag_lateral_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
staging,staging,pallet_absent,18,129.032000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,171,1.000000,,,,,,,,0.010198,0.062322,-0.000000,129.048000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.057771
staging,staging,pallet_absent,19,129.098000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.010392,0.064152,-0.000000,129.116000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.059937
staging,staging,pallet_absent,20,129.164000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,171,1.000000,,,,,,,,0.014221,0.064625,-0.000000,129.182000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.063637
staging,staging,pallet_absent,21,129.230000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,169,1.000000,,,,,,,,0.012406,0.061790,-0.000000,129.258000,0,271.892850,87.007387,3.105562,2.285562,-0.401848,2.818007,0,none,0,0,face_width_not_pallet_sized,,,0.048419
staging,staging,pallet_absent,22,129.296000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,168,1.000000,,,,,,,,0.012709,0.067146,-0.000000,129.324000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.056423
staging,staging,pallet_absent,23,129.362000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.012214,0.061255,-0.000000,129.380000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.057001
staging,staging,pallet_absent,24,129.428000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,169,1.000000,,,,,,,,0.009954,0.064402,-0.000000,129.456000,0,271.892238,87.006946,3.105452,2.285452,-0.401839,2.817905,0,none,0,0,face_width_not_pallet_sized,,,0.055625
staging,staging,pallet_absent,25,129.494000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.011790,0.063274,-0.000000,129.510000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.059133
staging,staging,pallet_absent,26,129.560000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.010789,0.072046,-0.000000,129.576000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.060700
staging,staging,pallet_absent,27,129.626000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,173,1.000000,,,,,,,,0.010422,0.062964,-0.000000,129.664000,0,271.891496,87.008474,3.105601,2.285601,-0.401865,2.818045,0,none,0,0,face_width_not_pallet_sized,,,0.047644
staging,staging,pallet_absent,28,129.692000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,171,1.000000,,,,,,,,0.012556,0.063033,-0.000000,129.710000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.060928
staging,staging,pallet_absent,29,129.758000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,171,1.000000,,,,,,,,0.011413,0.062290,-0.000000,129.786000,0,271.891675,87.008688,3.105335,2.285335,-0.401829,2.817804,0,none,0,0,face_width_not_pallet_sized,,,0.046643
staging,staging,pallet_rotated,0,149.096000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1744,0.973294,198,359,190,223,1.176832,0.241214,0.352176,0.014250,0.058446,-0.000000,144.388000,1,,,,,,,,none,0,1,,1.176832,0.352176,0.000003
