case,expected,reason,exact,range_m,seed,t_classify_s
stringer,stringer_in_path,stringer_in_path,1,1.0,1,0.06116289999772562
stringer,stringer_in_path,stringer_in_path,1,1.0,2,0.053895599998213584
stringer,stringer_in_path,stringer_in_path,1,1.0,3,0.0631033000026946
stringer,stringer_in_path,stringer_in_path,1,1.0,4,0.08149419999972451
stringer,stringer_in_path,stringer_in_path,1,1.0,5,0.05039499999838881
stringer,stringer_in_path,stringer_in_path,1,1.0,6,0.09421030000157771
stringer,stringer_in_path,stringer_in_path,1,1.0,7,0.06894259999899077
stringer,stringer_in_path,stringer_in_path,1,1.0,8,0.08985789999860572
stringer,stringer_in_path,stringer_in_path,1,1.0,9,0.06867480000073556
shifted,pallet_shifted,pallet_shifted,1,2.245,0,0.05178890000024694
shifted,pallet_shifted,pallet_shifted,1,2.245,1,0.04925609999918379
shifted,pallet_shifted,pallet_shifted,1,2.245,2,0.07627800000045681
shifted,pallet_shifted,pallet_shifted,1,2.245,3,0.07782429999861051
shifted,pallet_shifted,pallet_shifted,1,2.245,4,0.05637449999994715
shifted,pallet_shifted,pallet_shifted,1,2.245,5,0.07147560000157682
shifted,pallet_shifted,pallet_shifted,1,2.245,6,0.08970970000154921
shifted,pallet_shifted,pallet_shifted,1,2.245,7,0.05889109999770881
shifted,pallet_shifted,pallet_shifted,1,2.245,8,0.0533281000025454
shifted,pallet_shifted,pallet_shifted,1,2.245,9,0.09313209999891114
shifted,pallet_shifted,pallet_shifted,1,1.5,0,0.0700386000025901
shifted,pallet_shifted,pallet_shifted,1,1.5,1,0.08177699999941979
shifted,pallet_shifted,pallet_shifted,1,1.5,2,0.059343799999624025
shifted,pallet_shifted,pallet_shifted,1,1.5,3,0.0499063000024762
shifted,pallet_shifted,pallet_shifted,1,1.5,4,0.05982100000255741
shifted,pallet_shifted,pallet_shifted,1,1.5,5,0.05344379999951343
shifted,pallet_shifted,pallet_shifted,1,1.5,6,0.054417499999544816
shifted,pallet_shifted,pallet_shifted,1,1.5,7,0.057773500000621425
shifted,pallet_shifted,pallet_shifted,1,1.5,8,0.0703983999992488
shifted,pallet_shifted,pallet_shifted,1,1.5,9,0.05000300000028801
shifted,pallet_shifted,pallet_shifted,1,1.0,0,0.055440899999666726
shifted,pallet_shifted,pallet_shifted,1,1.0,1,0.06644239999877755
shifted,pallet_shifted,pallet_shifted,1,1.0,2,0.0611419000015303
shifted,pallet_shifted,pallet_shifted,1,1.0,3,0.05668040000091423
shifted,pallet_shifted,pallet_shifted,1,1.0,4,0.0984506999993755
shifted,pallet_shifted,pallet_shifted,1,1.0,5,0.08562130000063917
shifted,pallet_shifted,pallet_shifted,1,1.0,6,0.05950449999727425
shifted,pallet_shifted,pallet_shifted,1,1.0,7,0.08092620000024908
shifted,pallet_shifted,pallet_shifted,1,1.0,8,0.09448730000076466
shifted,pallet_shifted,pallet_shifted,1,1.0,9,0.06015800000022864
