case,range_m,yaw_rad,seed,observed,tru_lat_m,tru_range_m,est_lat_m,est_range_m,e_lat_m,e_range_m,e_2d_m,est_yaw_rad,e_yaw_rad,a1_proxy_yaw_rad,roi_u0,roi_u1,roi_v0,roi_v1,face_width_m,face_height_m,pocket_span_m,inliers,floor_found,t_observe_s
approach_1.5,1.5,-0.1,7,1,-0.4,1.818538289091153,-0.39477992760781977,1.8119968984760715,0.005220072392180253,-0.0065413906150815215,0.008368927467643573,-0.10055711076356834,-0.0005571107635683331,-0.21516028906594856,138,359,252,279,1.1852275135019599,0.14480155142331635,0.5474189074400553,520,1,0.06476489999840851
approach_1.5,1.5,-0.1,8,1,-0.4,1.818538289091153,-0.39330253729030223,1.8113769839268874,0.006697462709697788,-0.007161305164265608,0.00980511593014227,-0.10058761917232095,-0.0005876191723209467,-0.21575273266096748,138,359,254,279,1.1868366205960423,0.13425753626652062,0.5454279908173488,516,1,0.04752020000159973
approach_1.5,1.5,-0.1,9,1,-0.4,1.818538289091153,-0.39478839214997274,1.8120357498032431,0.005211607850027278,-0.006502539287909892,0.008333299080992932,-0.10018735489208012,-0.0001873548920801188,-0.213758719154422,138,359,254,279,1.1871490902184372,0.13429288350887297,0.548304405282377,523,1,0.07987580000190064
approach_1.5,1.5,-0.05,0,1,-0.4,1.818538289091153,-0.3974663599146957,1.8120007943478649,0.002533640085304323,-0.00653749474328813,0.007011288726074603,-0.0500355706406338,-3.557064063379467e-05,-0.10748739707225703,136,359,256,275,1.1964775970398756,0.10194203741595351,0.5527793546653872,524,1,0.048676599999453174
approach_1.5,1.5,-0.05,1,1,-0.4,1.818538289091153,-0.39745033831537435,1.811927753825132,0.0025496616846256703,-0.006610535266021067,0.007085192390426419,-0.05020130677765115,-0.00020130677765115013,-0.10650663645692562,136,359,256,275,1.1964775353830996,0.10194203216268563,0.5527779932814402,523,1,0.05213050000020303
approach_1.5,1.5,-0.05,2,1,-0.4,1.818538289091153,-0.39746934686736257,1.8120144115017953,0.0025306531326374504,-0.006523877589357685,0.006997512706573042,-0.05007998163894085,-7.998163894084448e-05,-0.10620629218333817,136,357,256,277,1.1878548595623641,0.11287308620275857,0.5536639248906926,538,1,0.04998100000011618
approach_1.5,1.5,-0.05,3,1,-0.4,1.818538289091153,-0.39758723852503647,1.8125518652309558,0.002412761474963554,-0.00598642386019721,0.006454354233306905,-0.050392500835924635,-0.0003925008359246321,-0.10778909447428246,136,359,256,275,1.1968582307948519,0.10197446809462862,0.5529555808460869,531,1,0.07094249999863678
approach_1.5,1.5,-0.05,4,1,-0.4,1.818538289091153,-0.397482766139436,1.8120755883311044,0.0025172338605640165,-0.006462700760048623,0.006935630283017044,-0.049412984927556934,0.0005870150724430687,-0.10476484572211092,136,359,256,277,1.1984399611824588,0.1128575748198728,0.5536824623183731,535,1,0.05175779999990482
approach_1.5,1.5,-0.05,5,1,-0.4,1.818538289091153,-0.3975340516257057,1.812309392625584,0.0024659483742943133,-0.0062288964655690116,0.006699257612860017,-0.04959564730475321,0.00040435269524679435,-0.10716026466728125,136,357,256,275,1.186137501057975,0.10197562226290284,0.5528638076599816,514,1,0.04963990000032936
approach_1.5,1.5,-0.05,6,1,-0.4,1.818538289091153,-0.39763423211278914,1.812766103282084,0.002365767887210879,-0.005772185809068908,0.006238187774552375,-0.049539606148442446,0.000460393851557557,-0.10592848168516959,136,357,256,277,1.1883772306075984,0.11292272327040527,0.5539072579539168,530,1,0.055155599999125116
approach_1.5,1.5,-0.05,7,1,-0.4,1.818538289091153,-0.39751644609681086,1.8122291311605654,0.002483553903189162,-0.006309157930587617,0.006780377112162917,-0.05074334641546746,-0.0007433464154674579,-0.1078879636420994,136,359,256,275,1.196665920319308,0.10195808289716077,0.5528668965103687,536,1,0.07232060000023921
approach_1.5,1.5,-0.05,8,1,-0.4,1.818538289091153,-0.39748387869806096,1.8120806603505644,0.002516121301939067,-0.006457628740588639,0.006930500368468929,-0.05118171683711143,-0.0011817168371114281,-0.10974676203601692,136,357,256,275,1.1860135237125626,0.10196496357709815,0.5528072108457054,525,1,0.057466400001430884
