pose,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,t_decode_s,t_classify_s
staging,pallet_shifted,11,973.238000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.011708,0.079467
staging,pallet_shifted,12,973.304000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.011052,0.076863
staging,pallet_shifted,13,973.370000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.011988,0.078628
staging,pallet_shifted,14,973.436000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.010636,0.083296
staging,pallet_shifted,15,973.502000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.011176,0.078875
staging,pallet_shifted,16,973.568000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.012307,0.080868
staging,pallet_shifted,17,973.634000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.010781,0.079802
staging,pallet_shifted,18,973.700000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.012208,0.079074
staging,pallet_shifted,19,973.766000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.010745,0.081284
staging,pallet_shifted,20,973.832000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.011972,0.077950
staging,pallet_shifted,21,973.898000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.011135,0.080249
staging,pallet_shifted,22,973.964000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.014556,0.076156
staging,pallet_shifted,23,974.030000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.010748,0.082122
staging,pallet_shifted,24,974.096000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.013368,0.078685
staging,pallet_shifted,25,974.162000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.011981,0.079950
staging,pallet_shifted,26,974.228000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.012094,0.074964
staging,pallet_shifted,27,974.294000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.010513,0.077781
staging,pallet_shifted,28,974.360000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.010863,0.077833
staging,pallet_shifted,29,974.426000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.011130,0.081600
staging,pocket_blocked,0,989.474000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010603,0.076563
staging,pocket_blocked,1,989.540000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010611,0.077080
staging,pocket_blocked,2,989.606000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010972,0.080008
staging,pocket_blocked,3,989.672000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011479,0.083238
staging,pocket_blocked,4,989.738000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.012170,0.074738
staging,pocket_blocked,5,989.804000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011792,0.082421
staging,pocket_blocked,6,989.870000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.009616,0.077020
staging,pocket_blocked,7,989.936000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.013401,0.091541
staging,pocket_blocked,8,990.002000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011485,0.077115
staging,pocket_blocked,9,990.068000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.013911,0.080928
staging,pocket_blocked,10,990.134000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010188,0.080486
staging,pocket_blocked,11,990.200000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011215,0.080288
staging,pocket_blocked,12,990.266000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010300,0.081938
staging,pocket_blocked,13,990.332000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011696,0.078686
staging,pocket_blocked,14,990.398000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010903,0.083907
staging,pocket_blocked,15,990.464000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010280,0.077452
staging,pocket_blocked,16,990.530000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010991,0.087856
staging,pocket_blocked,17,990.596000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.009824,0.081024
