t_sim,gt_x,gt_y,gt_yaw,gt_v,est_v,cmd_v,cmd_w,sm_v,sm_w,gate_v,gate_w,gate_age,traction,steer,env_enable,env_ceiling,env_permit,env_mode,env_publishing,mode_applied,heartbeat,gate_state
2.2801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.3,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.3199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.3399,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.3599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.38,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.4,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.4199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.44,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.4599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.48,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.5,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.52,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.5399,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.56,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.5802,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.5999,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.6199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.6399,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.66,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.6801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.6999,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.72,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,0.0,0.025,0.0,0.0014,0.025,0.0,1,0.6,1,2,1,2,609,2
2.7402,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.017253236311162365,0.4,0.0,0.025,0.0,0.025,0.0,0.0216,0.025,0.0,1,0.6,1,2,1,2,610,0
2.7598,-4.499265282831258,6.9999999601659475,-7.961327764414696e-08,0.024999999503526157,0.027090770749789852,0.4,0.0,0.02787553938519373,4.196809681894436e-06,0.02787553938519373,4.196809681894436e-06,0.0186,0.027875539733502066,0.0001580830443633323,1,0.6,1,2,1,2,610,0
2.7801,-4.499265282831258,6.9999999601659475,-7.961327764414696e-08,0.024999999503526157,0.027759910851615104,0.4,0.0,0.02787553938519373,4.196809681894436e-06,0.02787553938519373,4.196809681894436e-06,0.0389,0.027875539733502066,0.0001580830443633323,1,0.6,1,2,1,2,610,0
2.7999,-4.497877263267945,6.999999882561933,-2.3439306848745971e-07,0.027875539181032305,0.027804877362996503,0.4,0.0,0.03942078358251347,-0.0019066251996956527,0.03942078358251347,-0.0019066251996956527,0.0084,0.03947158481649578,-0.050740697966936935,1,0.6,1,2,1,2,611,0
