t_sim,gt_x,gt_y,gt_yaw,gt_v,est_v,cmd_v,cmd_w,sm_v,sm_w,gate_v,gate_w,gate_age,traction,steer,env_enable,env_ceiling,env_permit,env_mode,env_publishing,mode_applied,heartbeat,gate_state
2.0198,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.0398,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.06,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.0803,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.1001,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.1198,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.1398,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.1598,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.18,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.1998,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.2198,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.2398,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.2599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.2801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,0.0008,0.0,0.0,1,0.6,1,2,1,-1,673,2
2.2998,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.0,0.0,0.0205,0.0,0.0,1,0.6,1,2,1,-1,673,2
2.3198,-4.499765282813793,6.999999988129936,-2.3735889152576276e-08,0.011735859308945282,0.0,0.4,0.0,0.025,-2.3489261277057708e-24,0.025,-2.3489261277057708e-24,0.0157,0.025,-9.865489736364238e-23,1,0.6,1,2,1,-1,674,0
2.3398,-4.499765282813793,6.999999988129936,-2.3735889152576276e-08,0.011735859308945282,0.008626619469973111,0.4,0.0,0.026437769911662187,2.0989133915689096e-06,0.026437769911662187,2.0989133915689096e-06,0.0014,0.026437770003519306,8.336024798636178e-05,1,0.6,1,2,1,2,674,0
2.3599,-4.499765282813793,6.999999988129936,-2.3735889152576276e-08,0.011735859308945282,0.026501647194664833,0.4,0.0,0.026437769911662187,2.0989133915689096e-06,0.026437769911662187,2.0989133915689096e-06,0.0215,0.026437770003519306,8.336024798636178e-05,1,0.6,1,2,1,2,674,0
2.3803,-4.498475028437487,6.9999999159919435,-1.6776897321912576e-07,0.026437769479090757,0.027720009577681524,0.4,0.0,0.026437769911662187,2.0989133915689096e-06,0.026437769911662187,2.0989133915689096e-06,0.042,0.026437770003519306,8.336024798636178e-05,1,0.6,1,2,1,2,675,0
2.3999,-4.498475028437487,6.9999999159919435,-1.6776897321912576e-07,0.026437769479090757,0.019164943893616813,0.4,0.0,0.041402644027187255,0.0011243291665341102,0.041402644027187255,0.0011243291665341102,0.0115,0.0414194715129776,0.028506049959430516,1,0.6,1,2,1,2,675,0
2.4198,-4.496924787953102,7.000006835926003,1.3664087955962746e-05,0.03710786329600222,0.03585244569616639,0.4,0.0,0.041402644027187255,0.0011243291665341102,0.041402644027187255,0.0011243291665341102,0.0313,0.0414194715129776,0.028506049959430516,1,0.6,1,2,1,2,676,0
2.4398,-4.496924787953102,7.000006835926003,1.3664087955962746e-05,0.03710786329600222,0.03698443846413119,0.4,0.0,0.05424469696525215,0.0015948799789572954,0.05424469696525215,0.0015948799789572954,0.0012,0.05427054002236767,0.030861860607942316,1,0.6,1,2,1,2,676,0
2.4598,-4.496924787953102,7.000006835926003,1.3664087955962746e-05,0.03710786329600222,0.045696002130603326,0.4,0.0,0.05424469696525215,0.0015948799789572954,0.05424469696525215,0.0015948799789572954,0.0212,0.05427054002236767,0.030861860607942316,1,0.6,1,2,1,2,676,0
2.4802,-4.494586336918921,7.0000320359097445,6.389045600349164e-05,0.053543829171353766,0.046286097965557355,0.4,0.0,0.05424469696525215,0.0015948799789572954,0.05424469696525215,0.0015948799789572954,0.0415,0.05427054002236767,0.030861860607942316,1,0.6,1,2,1,2,677,0
2.4998,-4.494586336918921,7.0000320359097445,6.389045600349164e-05,0.053543829171353766,0.054959817415261944,0.4,0.0,0.06482395759422283,0.0023533731460677284,0.06482395759422283,0.0023533731460677284,0.0115,0.06487103764987583,0.038100820511447135,1,0.6,1,2,1,2,677,0
2.5198,-4.491655524071073,7.000069191713597,0.0001376355557097291,0.06422460335676085,0.055541107027023244,0.4,0.0,0.06482395759422283,0.0023533731460677284,0.06482395759422283,0.0023533731460677284,0.0315,0.06487103764987583,0.038100820511447135,1,0.6,1,2,1,2,678,0
