pose,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,t_decode_s,t_classify_s
approach_1.50m,pallet_absent,11,657.296000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.012626,0.048426
approach_1.50m,pallet_absent,12,657.362000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.015303,0.051103
approach_1.50m,pallet_absent,13,657.428000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.012977,0.053811
approach_1.50m,pallet_absent,14,657.494000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.012361,0.055309
approach_1.50m,pallet_absent,15,657.560000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.013439,0.052773
approach_1.50m,pallet_absent,16,657.626000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.014705,0.051152
approach_1.50m,pallet_absent,17,657.692000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.012282,0.056481
approach_1.50m,pallet_absent,18,657.758000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.012479,0.053810
approach_1.50m,pallet_absent,19,657.824000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.011858,0.050548
approach_1.50m,pallet_absent,20,657.890000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.017356,0.049403
approach_1.50m,pallet_absent,21,657.956000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.013211,0.055760
approach_1.50m,pallet_absent,22,658.022000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.012992,0.063754
approach_1.50m,pallet_absent,23,658.088000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.013577,0.059049
approach_1.50m,pallet_absent,24,658.154000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.012067,0.052359
approach_1.50m,pallet_absent,25,658.220000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.015435,0.048271
approach_1.50m,pallet_absent,26,658.286000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.013768,0.054621
approach_1.50m,pallet_absent,27,658.352000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.012036,0.055144
approach_1.50m,pallet_absent,28,658.418000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.011284,0.050767
approach_1.50m,pallet_absent,29,658.484000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.016201,0.050542
approach_1.50m,pallet_rotated,0,674.192000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,293,1.190690,0.296326,0.351164,0.013827,0.049179
approach_1.50m,pallet_rotated,1,674.258000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.189422,0.285246,0.352394,0.013745,0.047175
approach_1.50m,pallet_rotated,2,674.324000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.189023,0.285150,0.350630,0.014108,0.055856
approach_1.50m,pallet_rotated,3,674.390000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.188881,0.285116,0.350682,0.015805,0.056013
approach_1.50m,pallet_rotated,4,674.456000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.188671,0.285066,0.351772,0.016195,0.045289
approach_1.50m,pallet_rotated,5,674.522000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,293,1.190329,0.296236,0.350800,0.012326,0.045976
approach_1.50m,pallet_rotated,6,674.588000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,293,1.190584,0.296299,0.349907,0.013488,0.043737
approach_1.50m,pallet_rotated,7,674.654000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,293,1.190133,0.296187,0.352087,0.012238,0.048194
approach_1.50m,pallet_rotated,8,674.720000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,293,1.190465,0.296270,0.351825,0.011582,0.042820
approach_1.50m,pallet_rotated,9,674.786000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.189048,0.285156,0.351506,0.012401,0.044783
