cycle,k,stamp,wall,reason,abort,truth_x,truth_y,truth_yaw,cam_range_m,valid_frac,t_classify_s
0,954,1047.686000,173.270808,pallet_absent,1,7.012745,5.211206,1.511776,0.881206,0.754661,0.098051
0,955,1047.884000,173.468789,pallet_absent,1,7.011272,5.198854,1.513120,0.868854,0.755225,0.087471
0,956,1048.082000,173.655451,pallet_absent,1,7.009643,5.186534,1.514739,0.856534,0.755762,0.085891
0,957,1048.346000,173.898529,pallet_absent,1,6.958532,4.939109,1.555237,0.609109,0.756494,0.088996
0,958,1048.478000,174.089520,pallet_absent,1,6.956238,4.932479,1.558022,0.602479,0.757015,0.087102
0,959,1048.676000,174.281954,pallet_absent,1,6.953996,4.926915,1.561290,0.596915,0.757038,0.087782
0,960,1048.940000,174.491442,pallet_absent,1,6.934488,4.898342,1.585711,0.568342,0.757145,0.082065
0,961,1049.138000,174.689631,pallet_absent,1,6.928108,4.890775,1.593104,0.560775,0.757201,0.077214
0,962,1049.270000,174.860906,pallet_absent,1,6.926554,4.888956,1.594886,0.558956,0.757227,0.085360
0,963,1049.468000,175.045176,pallet_absent,1,6.925022,4.887180,1.596648,0.557180,0.757256,0.086163
0,964,1049.666000,175.240267,pallet_absent,1,6.923508,4.885437,1.598407,0.555437,0.757279,0.101524
0,965,1049.864000,175.446072,pallet_absent,1,6.922011,4.883725,1.600171,0.553725,0.757292,0.079112
0,966,1050.062000,175.621929,pallet_absent,1,6.920526,4.882042,1.601947,0.552042,0.757295,0.080493
0,967,1050.194000,175.798617,pallet_absent,1,6.919054,4.880386,1.603736,0.550386,0.757292,0.075434
0,968,1050.392000,175.971753,pallet_absent,1,6.917593,4.878756,1.605543,0.548756,0.757288,0.079723
0,969,1050.590000,176.154779,pallet_absent,1,6.899811,4.859487,1.629373,0.529487,0.757269,0.085485
0,970,1050.722000,176.339489,pallet_absent,1,6.898573,4.858129,1.631085,0.528129,0.757210,0.081505
0,971,1050.920000,176.515577,pallet_absent,1,6.897357,4.856791,1.632768,0.526791,0.757165,0.076965
0,972,1051.118000,176.687006,pallet_absent,1,6.896161,4.855474,1.634436,0.525474,0.757142,0.079606
0,973,1051.250000,176.867309,pallet_absent,1,6.893827,4.852898,1.637704,0.522898,0.757119,0.082755
0,974,1051.514000,177.079463,pallet_absent,1,6.870387,4.826057,1.670952,0.496057,0.757096,0.087448
0,975,1051.712000,177.266836,pallet_absent,1,6.869464,4.824964,1.672280,0.494964,0.757087,0.085431
0,976,1051.844000,177.460416,pallet_absent,1,6.868546,4.823873,1.673603,0.493873,0.757067,0.077266
0,977,1052.108000,177.660831,pallet_absent,1,6.859826,4.813346,1.686216,0.483346,0.757077,0.078656
0,978,1052.240000,177.840823,pallet_absent,1,6.858993,4.812326,1.687428,0.482326,0.757074,0.090145
0,979,1052.438000,178.029963,pallet_absent,1,6.858165,4.811310,1.688634,0.481310,0.757103,0.086235
0,980,1052.636000,178.212521,pallet_absent,1,6.857341,4.810298,1.689836,0.480298,0.757135,0.081142
0,981,1052.834000,178.392465,pallet_absent,1,6.856522,4.809289,1.691033,0.479289,0.757122,0.095247
0,982,1053.032000,178.587498,pallet_absent,1,6.855709,4.808283,1.692223,0.478283,0.757178,0.082739
0,983,1053.164000,178.769919,pallet_absent,1,6.854903,4.807284,1.693400,0.477284,0.757184,0.089503
0,984,1053.362000,178.961548,pallet_absent,1,6.854106,4.806292,1.694566,0.476292,0.757262,0.078615
0,985,1053.560000,179.133335,pallet_absent,1,6.851760,4.803359,1.697998,0.473359,0.757327,0.082372
0,986,1053.758000,179.319646,pallet_absent,1,6.848733,4.799542,1.702443,0.469542,0.757207,0.089683
0,987,1053.956000,179.517554,pallet_absent,1,6.845805,4.795817,1.706760,0.465817,0.757292,0.078509
0,988,1054.088000,179.691939,pallet_absent,1,6.843657,4.793067,1.709941,0.463067,0.757305,0.081524
0,989,1054.352000,179.914478,pallet_absent,1,6.827880,4.772266,1.733543,0.442266,0.757314,0.083030
0,990,1054.484000,180.099138,pallet_absent,1,6.827268,4.771438,1.734469,0.441438,0.757324,0.085129
0,991,1054.682000,180.284098,pallet_absent,1,6.826659,4.770612,1.735389,0.440612,0.757295,0.085644
0,992,1054.880000,180.463642,pallet_absent,1,6.826055,4.769791,1.736304,0.439791,0.757334,0.090543
0,993,1055.078000,180.680173,pallet_absent,1,6.825452,4.768971,1.737216,0.438971,0.757350,0.086062
0,994,1055.276000,180.865076,pallet_absent,1,6.824851,4.768151,1.738128,0.438151,0.757383,0.109241
0,995,1055.474000,181.088244,pallet_absent,1,6.824255,4.767336,1.739032,0.437336,0.757415,0.093003
0,996,1055.672000,181.291052,pallet_absent,1,6.823072,4.765714,1.740827,0.435714,0.757428,0.093712
1,0,1067.222000,0.143811,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.086061
1,1,1067.354000,0.325713,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.078716
1,2,1067.552000,0.495583,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.076012
1,3,1067.684000,0.707485,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.079170
1,4,1067.882000,0.883093,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.089881
1,5,1068.146000,1.104892,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.078455
1,6,1068.278000,1.282196,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.074790
1,7,1068.476000,1.444651,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.070721
1,8,1068.608000,1.598069,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.073136
1,9,1068.806000,1.768542,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.077362
1,10,1068.938000,1.934082,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.072235
1,11,1069.202000,2.159580,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.067791
1,12,1069.334000,2.313364,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.076800
1,13,1069.466000,2.482129,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.089623
1,14,1069.664000,2.678147,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.072212
1,15,1069.862000,2.838042,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.082625
1,16,1070.060000,3.024784,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.074568
1,17,1070.192000,3.191032,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.085860
1,18,1070.390000,3.365828,none,0,6.999997,6.575157,1.570797,2.245157,0.775443,0.075851
