# measure_pose_arrivals run3b moving, 14 s legs at 0.35 m/s url=http://127.0.0.1:8088/monitor/state?serial=F001 rate=20.0 seconds=240.0 moving_speed=0.1
t_s,reachable,reason,pose_age_ms,pose_count,obstacles_age_ms,x_m,y_m,yaw_rad,arrival_s,interval_s,messages_in_interval,interval_m,interval_rad
196.1576,True,,2974.0,346,84.7,5.48954217811613,13.15474644317167,-0.7794563207343889,193.1836,,,,
196.2553,True,,3043.2,346,54.7,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2121,,,,
196.3247,True,,3108.7,346,18.3,5.48954217811613,13.15474644317167,-0.7794563207343889,193.216,,,,
196.3902,True,,3158.1,346,67.7,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2321,,,,
196.4394,True,,3208.5,346,18.7,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2309,,,,
196.4897,True,,3277.7,346,88.0,5.48954217811613,13.15474644317167,-0.7794563207343889,193.212,,,,
196.5591,True,,3352.3,346,46.6,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2068,,,,
196.6342,True,,3403.5,346,15.1,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2307,,,,
196.685,True,,3485.8,346,97.3,5.48954217811613,13.15474644317167,-0.7794563207343889,193.1992,,,,
196.7677,True,,3549.0,346,60.8,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2187,,,,
196.8307,True,,3602.1,346,8.9,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2286,,,,
196.8837,True,,3662.1,346,68.9,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2216,,,,
196.9443,True,,3712.3,346,21.3,5.48954217811613,13.15474644317167,-0.7794563207343889,193.232,,,,
196.9942,True,,3808.2,346,19.8,5.48954217811613,13.15474644317167,-0.7794563207343889,193.186,,,,
197.0901,True,,3874.2,346,85.8,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2159,,,,
197.1564,True,,3942.0,346,52.7,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2144,,,,
197.2242,True,,3995.9,346,2.0,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2283,,,,
197.2784,True,,4045.9,346,52.1,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2325,,,,
197.3436,True,,4121.2,346,23.0,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2224,,,,
197.4039,True,,4195.8,346,97.6,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2081,,,,
197.4792,True,,4271.3,346,74.6,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2079,,,,
197.5543,True,,4326.1,346,28.3,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2282,,,,
197.609,True,,4384.9,346,87.1,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2241,,,,
197.6679,True,,4451.5,346,54.5,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2164,,,,
197.7347,True,,4546.7,346,55.5,5.48954217811613,13.15474644317167,-0.7794563207343889,193.188,,,,
197.83,True,,4611.6,346,18.1,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2184,,,,
197.8947,True,,4689.1,346,95.6,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2056,,,,
197.9728,True,,4761.9,346,69.8,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2109,,,,
198.0452,True,,4823.7,346,32.6,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2215,,,,
198.1074,True,,4892.5,346,101.3,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2149,,,,
198.176,True,,4942.0,346,46.3,5.48954217811613,13.15474644317167,-0.7794563207343889,193.234,,,,
