# measure_pose_arrivals run4 moving SLOW, 30 s legs at 0.15 m/s url=http://127.0.0.1:8088/monitor/state?serial=F001 rate=20.0 seconds=240.0 moving_speed=0.05
t_s,reachable,reason,pose_age_ms,pose_count,obstacles_age_ms,x_m,y_m,yaw_rad,arrival_s,interval_s,messages_in_interval,interval_m,interval_rad
43.9191,True,,1927.7,371,39.3,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9914,,,,
43.9666,True,,1996.8,371,10.6,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9698,,,,
44.0359,True,,2088.7,371,2.6,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9472,,,,
44.1282,True,,2151.6,371,65.6,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9766,,,,
44.1915,True,,2201.1,371,16.5,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9904,,,,
44.2407,True,,2276.0,371,91.4,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9647,,,,
44.3161,True,,2353.2,371,66.1,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9629,,,,
44.3931,True,,2429.1,371,44.2,6.707569193754339,12.006774539242953,-0.8007977370581795,41.964,,,,
44.4693,True,,2481.4,371,96.5,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9879,,,,
44.5214,True,,2531.5,371,39.8,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9899,,,,
44.5714,True,,2598.8,371,8.8,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9726,,,,
44.6391,True,,2657.1,371,67.2,6.707569193754339,12.006774539242953,-0.8007977370581795,41.982,,,,
44.6975,True,,2706.3,371,18.4,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9912,,,,
44.7466,True,,2784.7,371,96.8,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9619,,,,
44.8255,True,,2856.8,371,68.2,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9687,,,,
44.8976,True,,2924.9,371,38.0,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9727,,,,
44.9656,True,,2977.0,371,90.0,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9886,,,,
45.018,True,,3036.3,371,48.5,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9817,,,,
45.0776,True,,3119.3,371,30.6,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9583,,,,
45.1603,True,,3187.1,371,0.8,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9732,,,,
45.2282,True,,3265.3,371,79.0,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9629,,,,
45.3068,True,,3324.6,371,28.0,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9822,,,,
45.3823,True,,3413.1,371,18.7,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9692,,,,
45.4547,True,,3473.3,371,78.9,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9814,,,,
45.5155,True,,3529.0,371,31.6,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9865,,,,
45.5707,True,,3596.0,371,4.7,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9747,,,,
45.6382,True,,3654.0,371,62.7,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9842,,,,
45.6963,True,,3716.1,371,26.8,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9802,,,,
45.7581,True,,3781.7,371,92.3,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9764,,,,
45.8243,True,,3850.5,371,61.1,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9738,,,,
45.893,True,,3905.0,371,12.6,6.707569193754339,12.006774539242953,-0.8007977370581795,41.988,,,,
45.9473,True,,3966.5,371,74.1,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9808,,,,
46.0088,True,,4018.2,371,28.0,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9906,,,,
46.0606,True,,4136.8,371,47.9,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9238,,,,
46.1794,True,,4190.6,371,1.2,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9888,,,,
46.2331,True,,4260.0,371,70.7,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9731,,,,
46.3032,True,,4311.5,371,21.1,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9917,,,,
46.3549,True,,4386.6,371,96.2,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9683,,,,
46.4297,True,,4445.0,371,55.8,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9847,,,,
46.4876,True,,4524.9,371,35.9,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9627,,,,
46.5677,True,,4573.1,371,84.1,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9946,,,,
46.6155,True,,4640.9,371,53.3,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9746,,,,
46.6832,True,,4711.8,371,23.0,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9714,,,,
46.7536,True,,4783.9,371,95.1,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9697,,,,
46.8399,True,,4892.9,371,4.2,6.707569193754339,12.006774539242953,-0.8007977370581795,41.947,,,,
46.9345,True,,4951.9,371,63.1,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9826,,,,
46.9932,True,,5004.1,371,15.1,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9891,,,,
47.0455,True,,5070.1,371,81.1,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9754,,,,
47.1112,True,,5129.3,371,42.8,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9819,,,,
47.1701,True,,5206.3,371,21.3,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9638,,,,
47.2467,True,,5253.6,371,68.5,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9931,,,,
47.2944,True,,5303.7,371,16.1,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9907,,,,
47.344,True,,5350.8,371,63.2,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9932,,,,
47.3909,True,,5401.0,371,14.3,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9899,,,,
47.4411,True,,5447.7,371,61.0,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9934,,,,
47.4879,True,,5518.8,371,31.6,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9691,,,,
47.5586,True,,5570.8,371,83.6,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9878,,,,
47.6104,True,,5639.7,371,53.2,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9707,,,,
47.679,True,,5706.8,371,17.7,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9722,,,,
47.7464,True,,5777.4,371,88.3,6.707569193754339,12.006774539242953,-0.8007977370581795,41.969,,,,
47.8167,True,,5826.4,371,38.9,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9903,,,,
