wall_utc,EStopDemand,ZoneStopDemand,SafetyResetRequired,DriveModeActive,ModeApplied,MotionEnable,SpeedCeiling,TeleopActive,TractionSpeedRef,LinearSpeed,EquipmentPermit,ProcessStopActive,hmi_reset_req,hmi_teleop_req,hmi_traction_req,hmi_mode_req
2026-08-07T10:46:37.133+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:37.381+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:37.622+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:37.872+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:38.116+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:38.358+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:38.602+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:38.844+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:39.085+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:39.334+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:39.577+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:39.822+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:40.068+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:40.314+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:40.557+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:40.803+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:41.048+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:41.293+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:41.558+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:41.801+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:42.043+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:42.289+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:42.529+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:42.772+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:43.019+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:43.262+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:43.506+00:00,False,False,False,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
