cycle,k,stamp,wall,regime,reason,abort,truth_x,truth_y,truth_yaw,cam_range_m,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,num_retries,dock_state,retry_joined,pallet_readback_ok,pallet_moved_m,countable,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
0,53,530.312000,12.222349,close,pallet_absent,1,6.984094,5.105667,1.595823,0.775667,0.754840,0,face_width_not_pallet_sized,2,3565,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.078534,-0.000000,530.590000,0,,,,,,none,0,1,,1.191065,-0.047336,0.079771
0,54,530.576000,12.523156,close,pallet_absent,1,6.978589,5.058568,1.603363,0.728568,0.755290,0,face_width_not_pallet_sized,2,3709,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.077475,-0.000000,530.890000,1,,,,,,none,0,1,,1.189740,-0.063419,0.000002
0,55,530.840000,12.746836,close,pallet_absent,1,6.973616,5.028514,1.611385,0.698514,0.755495,0,face_width_not_pallet_sized,2,3803,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.082045,-0.000000,531.114000,0,,,,,,none,0,1,,1.192730,-0.076538,0.073522
0,56,531.104000,13.047395,close,pallet_absent,1,6.965353,4.988097,1.626161,0.658097,0.755560,0,face_width_not_pallet_sized,2,3901,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.078580,-0.000000,531.414000,1,,,,,,none,0,1,,1.186739,-0.092360,0.000002
0,57,531.368000,13.275789,close,pallet_absent,1,6.958221,4.960014,1.639912,0.630014,0.755661,0,candidate_falls_away_like_a_floor,3,1610,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.079758,-0.000000,531.644000,0,,,,,,none,0,1,,1.177964,-0.110128,0.077073
0,58,531.632000,13.581798,close,pallet_absent,1,6.949615,4.933255,1.657340,0.603255,0.755768,0,candidate_falls_away_like_a_floor,3,1611,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.076018,-0.000000,531.950000,1,,,,,,none,0,1,,1.172149,-0.127960,0.000002
0,59,531.896000,13.806311,close,pallet_absent,1,6.943769,4.919479,1.669602,0.589479,0.755866,0,candidate_falls_away_like_a_floor,3,1608,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.087846,-0.000000,532.174000,0,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.077739
0,60,532.226000,14.140687,close,pallet_absent,1,6.933237,4.902009,1.692973,0.572009,0.755905,0,candidate_falls_away_like_a_floor,3,1600,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.079722,-0.000000,532.508000,0,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.074579
0,61,532.556000,14.458011,close,pallet_absent,1,6.923788,4.891518,1.714332,0.561518,0.756012,0,candidate_falls_away_like_a_floor,3,1577,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.078520,-0.000000,532.826000,0,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.077137
0,62,532.820000,14.782823,close,pallet_absent,1,6.913091,4.881857,1.738432,0.551857,0.756175,0,candidate_falls_away_like_a_floor,3,1500,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.078568,-0.000000,533.150000,1,,,,,,none,0,0,face_width_not_pallet_sized,,,0.000002
